time_step,coverage
0,0.0096
1,0.0192
2,0.0288
3,0.0384
4,0.048
5,0.0576
6,0.0672
7,0.0768
8,0.0864
9,0.096
10,0.1056
11,0.1152
12,0.1248
13,0.1344
14,0.144
15,0.1536
16,0.1632
17,0.1728
18,0.1824
19,0.192
20,0.2016
21,0.2112
22,0.2208
23,0.2304
24,0.24
25,0.2496
26,0.2576
27,0.2672
28,0.2768
29,0.2864
30,0.296
31,0.3056
32,0.3152
33,0.3248
34,0.3344
35,0.344
36,0.3536
37,0.3632
38,0.3728
39,0.3808
40,0.3904
41,0.4
42,0.4096
43,0.4192
44,0.4288
45,0.4384
46,0.448
47,0.4576
48,0.4656
49,0.4736
50,0.4832
51,0.4928
52,0.5024
53,0.5104
54,0.5184
55,0.528
56,0.5376
57,0.5472
58,0.5568
59,0.5664
60,0.576
61,0.584
62,0.5904
63,0.5984
64,0.6064
65,0.6144
66,0.6208
67,0.6288
68,0.6368
69,0.6448
70,0.6528
71,0.6624
72,0.6704
73,0.6784
74,0.6848
75,0.6928
76,0.7008
77,0.7088
78,0.7168
79,0.7232
80,0.7312
81,0.7392
82,0.7472
83,0.7552
84,0.7632
85,0.7728
86,0.7824
87,0.792
88,0.8016
89,0.8112
90,0.8208
91,0.8304
92,0.8384
93,0.848
94,0.856
95,0.864
96,0.8736
97,0.8832
98,0.888
99,0.8928
100,0.9008
101,0.9072
102,0.9152
103,0.9216
104,0.9264
105,0.9312
106,0.9344
107,0.9376
108,0.9408
109,0.944
110,0.944
111,0.9472
112,0.9504
113,0.9552
114,0.96
115,0.9648
116,0.9696
117,0.9728
118,0.9744
119,0.976
120,0.9792
121,0.9792
122,0.9792
123,0.9808
124,0.9808
125,0.9808
126,0.9808
127,0.9808
128,0.9808
129,0.9808
130,0.9808
131,0.9824
132,0.984
133,0.9856
134,0.9856
135,0.9856
136,0.9856
137,0.9856
